QUERIES_TOP  ,QUERIES_TOP popularity,QUERIES_RISING,QUERIES_RISING POPULARITY
Sunscreen,100,EltaMD,Breakout
Face,9,Supergoop,Breakout
Skin,6,SPF 50,Breakout
Neutrogena,4,Sun Bum,Breakout
Moisturizer,4,Product recall,Breakout
Lotion,3,Environmental Working Group,Breakout
Sun tanning,3,safe,Breakout
EltaMD,3,Reef Safe,Breakout
Zinc,3,Aveeno,Breakout
Baby Sunscreen,3,Human skin,Breakout
Mineral,2,Face powder,Breakout
Ingredient,2,Badger,Breakout
Spray,2,COOLA,Breakout
Supergoop,2,Sephora,Breakout
Cream,2,Cleanser,Breakout
La Roche-Posay,2,Vitamin A,Breakout
Aerosol spray dispenser,2,Supergoop! Unseen Sunscreen SPF 40,Breakout
CeraVe,2,BabyGanics,Breakout
Cosmetics,2,La Roche-Posay,750%
SPF 50,2,Acne,700%
Zinc oxide,2,Black people,550%
Oxide,2,Moisturizer,350%
Acne,1,,
Sun,1,,
